IGM	CodigoMuestra	NombreEstacion	EstacionCompanero	SimboloUG	UGMapa	SubUnidad	DescripcionMuestra	NombreRoca	Localizacion	Plancha	Norte	Este	Altura	SistemaCoordenadas	Fecha	Proyecto	NombreColector	ExisteMuestra	TipoAnalisis
5079481	ECC0036P	ECC0036	PAR0044	e3?e4bsm	Batolito de Santa Marta		Cuazodiorita fanerítica gruesa, con cristales centimétricos a milimetricos, presencia de xenolitos redondeados con coronas de reacción.	Cuarzodiorita	Reserva Natural Mamancana	11IVD	1724145	985576	99	Magna Colombia Bogotá	15/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079482	ECC0040P	ECC0040	PAR0048	e3?e4bsm	Batolito de Santa Marta		Deposito reciente de sedimento consolidado, aproxiamadamente de 30 mts de altura, color amarillo ocre, arena grano decreciente con estratificacion plana paralela en láminas milimétricas a centimétricas.	Deposito reciente	Cantera	11IVB	1730029	990871	78	Magna Colombia Bogotá	15/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079483	ECC0049Pa	ECC0049	PAR0057	Qfla	Depósito fluviolacustre actual		Cuarzodiorita leucocratica, fanerítica fina, inequigranular, con presencia de xenolitos de formas irregulares, melanocráticos. La roca en general se presenta muy diaclasada	Cuarzodiorita	Rio Gaira	11IVD	1725258	990494	181	Magna Colombia Bogotá	16/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079484	ECC0049Pb	ECC0049	PAR0057	Qfla	Depósito fluviolacustre actual		Cuarzodiorita leucocratica, fanerítica fina, inequigranular, con presencia de xenolitos de formas irregulares, melanocráticos. La roca en general se presenta muy diaclasada	Cuarzodiorita	Rio Gaira	11IVD	1725258	990494	181	Magna Colombia Bogotá	16/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079485	ECC0049Pc	ECC0049	PAR0057	Qfla	Depósito fluviolacustre actual		Cuarzodiorita y enclaves máficos de grano fino y fneríticos de grano grueso	Cuarzodiorita y enclaves máficos de grano fino y fneríticos de grano grueso	Río Gaira	11IVD	1725258	990494	181	Magna Colombia Bogotá	16/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079486	ECC0055P	ECC0055	PAR0063				Cuarzodiorita fanerítica media, leucocrática, hipidiomorfica, con foliacion magmática producida por orientacion de las plagioclasas.	Cuarzodiorita	Nacimiento de la Quebrada El Pozo del Amor	11IVD	1001361	728484	774	Magna Colombia Bogotá	18/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079487	ECC0060P	ECC0060	PAR0068	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita fanerítica media a fina, color crema, con abundante biotita y poco anfibol, como producto de alteracion se presenta una arena amarilla, deleznable.	Cuarzodiorita	Camino que conduce a la Finca Las Mesitas	11IVD	1726624	999509	751	Magna Colombia Bogotá	18/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079488	ECC0064P	ECC0064	PAR0072	Qfla	Depósito fluviolacustre actual		Cantos hasta de 5 mts de tamaño, son cuarzodioritas crema con tonos rosados por la alteración de los feldespatos.	Cuarzodiorita	Río Manzanares	11IVD	1729428	997765	324	Magna Colombia Bogotá	19/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079489	ECC0066P	ECC0066	PAR0074	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita, faneritica, inequigranular, color crema, muy fracturada y atravezada por venas cuarzosasde grosor entre 2 cm y 10 cm.	Cuarzodiorita saprolitizado	Portón azul vía a Minca por Bachicha	11IVD	1729211	991975	115	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079490	ECC0067P	ECC0067	PAR0075	e3?e4bsm	Batolito de Santa Marta		Cuerpo igneo de cuarzodiorita, faneritica media, muy fracturada, alterada y deleznable, esta atravezada por diaclasas y venas rellenas de cuarzo, de grosor 37 cm.	Cuarzodiorita	Recorrido 20 de Octubre - Bachicha	11IVD	1729211	991975	115	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079491	ECC0068Pa	ECC0068	PARA0076	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita leucocratica, fanerítica gruesa, inequigranular, con venas pegmatiticas de cuarzo, plagioclasa y moscovita.	Cuarzodiorita	Alrrededores del Corregimiento de Minca	11IVD	1723668	995696	617	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079492	ECC0068Pb	ECC0068	PARA0076	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita leucocratica, fanerítica gruesa, inequigranular, con venas pegmatiticas de cuarzo, plagioclasa y moscovita.	Cuarzodiorita	Alrrededores del Corregimiento de Minca	11IVD	1723236	995647	642	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079493	ECC0069Pa	ECC0069	PAR0077	e3?e4bsm	Batolito de Santa Marta		Saprolito, color rojo ladrillo, producto de alteracion de la cuarzodiorita, textura arcillo-limosa, con alto contenido de oxido de hierro.	Saprolito de cuarzodiorita	Alrrededores del Corregimiento de Minca	11IVD	1722649	995405	683	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079494	ECC0069Pb	ECC0069	PAR0077	e3?e4bsm	Batolito de Santa Marta		Saprolito, color rojo ladrillo, producto de alteracion de la cuarzodiorita, textura arcillo-limosa, con alto contenido de oxido de hierro.	Saprolito de cuarzodiorita	Alrrededores del Corregimiento de Minca	11IVD	1722649	995405	683	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079495	ECC0072P	ECC0072	PAR0079	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita color blanco amarillento, fanerítica gruesa, inequigranular, hipidiomorfica, muy diclasada. Hay presencia de xenolitos de composicion dioritico, atravezados por venas rellenas de cuarzo	Cuarzodiorita	Cruce de la carretera con la quebrada Arimaca	11IVD	1721337	995265	780	Magna Colombia Bogotá	20/11/2019	Investigación Maritima, Costera e Insular	Andrea Carolina Matajira Pabon		Seccion Delgada
5079512	ECC0077	ECC0077	MGG0063				Afloramiento natural,debilmente meteorizado de roca metamorfica bandeada, de neises cuarzo feldespáticos, con cristales gruesos, muy diaclasados y fracturados.	Neis cataclastico	Transecta 1. Via El Pozon_ La Bodega.	19IIIC	1680038	1001857	473	Magna Colombia Bogotá	5/5/2021	Investigación Maritima, Costera e Insular	Milton Galvis & Elizabeth Cortés		Seccion Delgada
5079513	ECC0080	ECC0080	MGG0066	MP2NP3 PH?	Gnéis anortosítico		Afloramiento de roca ignea plutónica, fresca, maciza, algo fracturada, faneritica media.	Anortosita	Via El Pozón a Sevilla, margen izquierda.	18IVD	1680135	999716	230	Magna Colombia Bogotá	5/5/2021	Investigación Maritima, Costera e Insular	Elizabeth Cortés & Milton Galvis		Seccion Delgada
5079514	ECC0082	ECC0082	MGG0068	MP2NP3 PH?	Gnéis anortosítico		Afloramiento de roca plutónica, altamente meteorizada, fanerítica media,holocristalina, hipidiomorfica, equigranular .	Hornblendita con plagioclasa.	Via El Pozón a Sevilla, margen izquierda.	18IVD	1680205	999519	214	Magna Colombia Bogotá	5/5/2021	Investigación Maritima, Costera e Insular	Elizabeth Cortés & Milton Galvis		Seccion Delgada
