IGM	CodigoMuestra	NombreEstacion	EstacionCompanero	SimboloUG	UGMapa	SubUnidad	DescripcionMuestra	NombreRoca	Localizacion	Plancha	Norte	Este	Altura	SistemaCoordenadas	Fecha	Proyecto	NombreColector	ExisteMuestra	TipoAnalisis
5079960	AMC1272P	AMC1272	VMM0072	b4e1ft	Filitas de Taganga		roca metamorfica, textrua muy fina , esquistosa,  venas de cuarzo concordantes con la foliaciòn, composicion de cloritas  y en menor proporciòn cuarzos, presenta epidota y granates.	Esquisto cloritico	Playa acuario _ rodadero	11IVA	1732220	982742	7	Magna Colombia Bogotá	28/9/2021	Investigación Maritima, Costera e Insular	Ana Milena Cardozo Ortiz _ Viviana Monsalve		Seccion Delgada
5080086	AMC1378PDR	AMC1378	GPT0003				Roca metamorfica foliada, textura neisica a granofelsica,  granoblastica, compuesta por Plag 75%, Anf 15% alterando a epidota. moscovita, oxidos de hierro, minerales opacos	Plagioclasita Neisisca	margen izquierdo desde la via a Palmor hacia el sector la Bodega	18IVD	1680149	1000114	321	Magna Colombia Bogotá	3/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Analisis Macro
5080084	AMC1382P	AMC1382	GPT0007	MPNP3gm	Granulita de los Mangos		Roca metamorfica de textura neisica, levemente folada, granonematoblastica, de tonalidades gris verdosa, compuesta por Qz 50%, maficos 45% (Amp, Bt, Mn op), Py 3%, oxidos de hierro en patinas.	Neiss de cuarzo y anfibol	Margen derecho aguas abajo Q. Caribe	18IVD	1682259	999698	216	Magna Colombia Bogotá	4/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Seccion Delgada
5080076	AMC1386DR	AMC1386	GPT0011	MPNP3gm	Granulita de los Mangos		Roca metamorfica, foliada, nematoblasticas, bandas centimetricas constituidas por maficos 85%, Plg 3%, micas 10% (cloritas - Biotitas), sulfuros diseminados.	Neiss anfibolico 	Margen derecho que de San pedro de la Sierra conduce a Cerro Kennedy	18IVB	1696432	999153	944	Magna Colombia Bogotá	5/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Seccion Delgada
5080088	AMC1387DR	AMC1387	GPT0012	t5I4msps	Metamorfitas de San pedro de la Sierra		Roca metamorfica, foliada, textura esquistosa, maficos 80% (biottias y anfiboles), cuarzo 10%, Fds (5%), sulfuros diseminados	Esquisto anfibolico	Margen derecho que de San pedro de la Sierra conduce a Cerro Kennedy	18IVB	1696689	998478	884	Magna Colombia Bogotá	5/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Seccion Delgada
5080077	AMC1389DR	AMC1389	GPT0014	t5I4msps	Metamorfitas de San pedro de la Sierra		Roca con proceso de recristalizaciòn, levemente foliada, granoblastica, Qz 60%, Plag 20%, micas 15%, accesorios 5%, min Opacos, oxidos de hierro	Neiss de cuarzo y plagioclasa	Margen derecho de la via desde san pedro de la sierra a la via principal	18IVB	1695884	996700	633	Magna Colombia Bogotá	10/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pado Torres		Seccion Delgada
5080079	AMC1391DR	AMC1391	GPT0016	j4?j6b1?nb	Neis de Buritaca		Roca neissica, anfibol 50%, cuarzo 25%, micas 10%, oxidos y opacos 10%, plag 5%, 	Neiss de cuarzo y anfbol	Margen derecho de la via que desde San Pedro de la Sierra conduce a la via principal	18IVB	1694810	995694	436	Magna Colombia Bogotá	11/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pado Torres		Seccion Delgada
5080082	AMC1391DR2	AMC1391	GPT0016	j4?j6b1?nb	Neis de Buritaca		Roca Fracturada, con procesos de recristalizaciòn, se evidencia dos litologias; 1. cuarcita en contacto con roca de textura nematoblastica, neisica, milonitica, con augen, anfibol 50%, cuarzo 25%, micas 10%, min opacos 10%, plag 5%, oxidos de hierro.	Neis augen de anfibol y cuarzo	Margen derecho de la via que desde San Pedro de la Sierra conduce a la via principal	18IVB	1694810	995694	436	Magna Colombia Bogotá	10/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Analisis Macro
5080075	AMC1399DRX	AMC1399	NCC0033	e3?e4bsm	Batolito de Santa Marta		Muestra de la roca Tonalitica en contacto con el dique pegmatitico	tonalitas	Costado Sur del rio Toribio	18IIB	1713169	989641	98	Magna Colombia Bogotá	12/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Natalia Cabrera Claros		Seccion Delgada
5080087	AMC1403DR	AMC1403	GPT0027	e3?e4eg	Esquistos del Gaira		Roca metamorfica, textura esquistosa , lepidoblastica, laminas milimetricas, micas 60%, cuarzo 30%, min opacos 10%, 	Esquisto micaceo	Sector la secreta , margen derecho de la via que conduce a el sector la Tortuga , quebrada la Aguja	18IID	1701605	992747	525	Magna Colombia Bogotá	13/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pado Torres		Seccion Delgada
5080080	AMC1408DR	AMC1408	GPT0035	b4e1ft	Filitas de Taganga		Rocas con eventos de recristalización, foliada, con laminas de cuarzo lechoso y hialino, con evidencia de metamorfismo dinámico, Cuarzo (40%), maficos (50%) Silice (5-10%), oxidos de hierro. Venas lenticulares y plegadas de cuarzo lechosos	Ultracataclasita ?	Via Neguanje	11IID	1743496	998082	43	Magna Colombia Bogotá	16/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		DatacionesRadiometricas
5080081	AMC1408P	AMC1408	GPT0035	b4e1ft	Filitas de Taganga		Rocas con eventos de recristalización, foliada, con laminas de cuarzo lechoso y hialino, con evidencia de metamorfismo dinámico, Cuarzo (40%), maficos (50%) Silice (5-10%), oxidos de hierro. Venas lenticulares y plegadas de cuarzo lechosos	Ultracataclasita ?	Via Neguanje	11IID	1743496	998082	43	Magna Colombia Bogotá	16/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Bioestratigrafia
5080078	AMC1409DRP	AMC1409	GPT0036	b4e1ft	Filitas de Taganga		Afloramiento sobre acantilado. Roca con fabrica esquistiso, tamaño grano muy fino a fino. La roca mantiene caracteristcas de la estructura sedimentaria del protolito.	Esquistos cloriticos	Playa Placerito	11IID	1744707	997712	1	Magna Colombia Bogotá	17/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Seccion Delgada
5080083	AMC1409P	AMC1409	GPT0036	b4e1ft	Filitas de Taganga		Afloramiento sobre acantilado. Roca con fabrica esquistiso, tamaño grano muy fino a fino. La roca mantiene caracteristcas de la estructura sedimentaria del protolito.	Esquistos cloriticos	Playa Placerito	11IID	1744707	997712	1	Magna Colombia Bogotá	17/5/2022	Investigación Maritima, Costera e Insular	Ana Milena Cardozo y Germán Pardo Torres		Seccion Delgada
5080440	APN0719P	APN0719	ECM0604	q1q3lpi	Formación La Popa segmento inferior		Caliza (packstone)	Caliza (packstone)	En cercanías de lla esquina sureste del CC Miramar-Barranquilla	17IIC	1708346	917411	147	Magna Colombia Bogotá	12/7/2022	Investigación Maritima, Costera e Insular	Alejandro Patiño		Seccion Delgada
	APN0720P	APN0720	ECM0605	q1q3lpi	Formación La Popa segmento inferior		Arcillolitas	Arcillolitas	Cra 43 hacia la Circunvalar, Barrrio Miramar, Barranquilla	17IIC	1708001	917144	70	Magna Colombia Bogotá	12/7/2022	Investigación Maritima, Costera e Insular	Alejandro Patiño	Si	Bioestratigrafia
	APN0743P	APN0743	ECC0267	Qft	Depósito fluviotorrencial		Esquisto cuarzo feldespático con biotita y moscovita, a la base del afloramiento falla inversa dextral, diques pegmatiticos con biotita.	Esquistos	Barrio Altos del Reposo	11IVB	1734433	988538	24	Magna Colombia Bogotá	20/8/2022	Investigación Maritima, Costera e Insular	Alejandro Patiño Elizabeth Cortes 		Seccion Delgada
	APN0751P	APN0751	ECC0275	e3?e4eg	Esquistos del Gaira		Esquistos cuarzo biotíticos replegados con venas de cuarzo menor a 5 cm paralelas a la foliación.	Esquistos cuarzo biotíticos	Vía Minca El Campano	11IVD	1723493	996699	746	Magna Colombia Bogotá	24/8/2022	Investigación Maritima, Costera e Insular	Alejandro Patiño Elizabeth Cortes 		Seccion Delgada
	APN0757P	APN0757	ECC00281	e3?e4bsm	Batolito de Santa Marta		4 m de alto por 15 m de ancho de granodiorita moderadamente meteorizada de grano grueso, foliada; venas de cuarzo de 5 cm de espesor y dique pegmatítico de 1.5 m de diámetro. 	Granodiorita	Vía Santa Marta - Riohacha	11IVB	1734898	994562	52	Magna Colombia Bogotá	25/8/2022	Investigación Maritima, Costera e Insular	Elizabeth Cortes Alejandro Patiño		Seccion Delgada
5079497	AREC0001	ARO0565		e3?e4pl	Plutón de Latal		Rocas texturas faneriticas, grano grueso, color verde oscura, compuesta por máficos (Anf), Bt, Ep, Qt, moderadamente alterada con parches rojos de óxidos y otra con Pl.	Xenoliito de diorita y Tonalita	Carreteable Vereda la Mohana	11IVB	1690044	998867	345	Magna Colombia Bogotá	4/5/2021	Investigación Maritima, Costera e Insular	Angela Rincón y Edgar Carrillo		Seccion Delgada
5079498	AREC0002	ARO0565		e3?e4pl	Plutón de Latal		Rocas texturas faneriticas, grano grueso, color verde oscura, compuesta por máficos (Anf), Bt, Ep, Qt, moderadamente alterada con parches rojos de óxidos y otra con Pl.	Xenoliito de diorita y Tonalita	Carreteable Vereda la Mohana	11IVB	1690044	998867	345	Magna Colombia Bogotá	4/5/2021	Investigación Maritima, Costera e Insular	Angela Rincón y Edgar Carrillo		Seccion Delgada
5079502	ARO0565A	ARO0565	ECC0088	e3?e4pl	Plutón de Latal		Roca ignea con textura fanerítica de grano medio compuesto por Anf (80%), Ol (14%), Px (5%, Pl (10%)	Hornblentita con Pl, Tonalita, Granodiorita	Carreteable Vereda la Mohana	18IVB	1690044	998867	345	Magna Colombia Bogotá	8/5/2021	Investigación Maritima, Costera e Insular	Angela Rincón y Elizabeth Cortes		Analisis Macro
5079503	ARO0565B	ARO0565	ECC0088	e3?e4pl	Plutón de Latal		Roca ignea con textura fanerítica de grano medio compuesto por Anf (80%), Ol (14%), Px (5%, Pl (10%)	Hornblentita con Pl, Tonalita, Granodiorita	Carreteable Vereda la Mohana	18IVB	1690044	998867	345	Magna Colombia Bogotá	8/5/2021	Investigación Maritima, Costera e Insular	Angela Rincón y Elizabeth Cortes		Analisis Macro
5079500	ARO0567	ARO0567	LBV5007, ECC0085	MPNP3gm	Granulita de los Mangos		Roca metamorfica Leucocratica, afanitica con máficos Anfiboles 	Neis anortositico	Quebrada la caribe en la finca la mina	18IVD	1681907	999337	131	Magna Colombia Bogotá	7/5/2021	Investigación Maritima, Costera e Insular	Angela Rincón, Luis Bernal y Elizabeth Cortes		Seccion Delgada
5079504	ARO0570	ARO0570	ECC0089	e3?e4pl	Plutón de Latal		Roca ignea con textura fanerítica hipidiomorfica, inequigranular compuesto por Qz (21%), Anf (3%), Bt (8%), Pl (65%)	Granodiorita con moscovita	Carreteable Vereda la Mohana	18IVB	1690049	998811	362	Magna Colombia Bogotá	8/5/2021	Investigación Maritima, Costera e Insular	Angela Rincón y Elizabeth Cortes		DatacionesRadiometricas
5079568	ARO0578	ARO0578	ECC0099, LBV5017	e3?e4bsm	Batolito de Santa Marta		Roca ignea plutonica faneritica gruesa, hipidiomorfica, inequigranular compuesta por Pl (25%), Qz (45%), Anf (20%), Bt (10%)	Cuarzodiorita	Río Toribio	18IIB	1713891	992426	241	Magna Colombia Bogotá	10/5/2021	Investigación Maritima, Costera e Insular	Luis Bernal, Elizabeth Cortes y Angela Rincón		Seccion Delgada
5079496	CG2001P2	CG2001		Qlia	Depósito litoral e intermareal actual		Depósitos disgregados de costras de antiguas arenas de playa conformados por cuarzo, feldespatos y materia orgámica	Depósitos disgregados de costras de antiguas arenas de playa conformados por cuarzo, feldespatos y materia orgámica	Sector Barra Vieja antigua vía al Inderena	18ID	1705493	959391	2	Magna Colombia Bogotá	6/11/2019	Investigación Maritima, Costera e Insular	Leopoldo Gonzalez _ Edgar Carrillo		Seccion Delgada
5079604	CMA0005P	CMA0005	JDF0096	q1q3lpi	Formación La Popa segmento inferior		Sedimentaria, capas muy gruesas de calizas tipo rudstone. Fragmentos de conchas desarticuladas de bivalvos y moldes internos, también se indentifican rodolitos de algas	Rudstone de conchas de bivalvos	Cantera Munarriz, Zona de Puerto Colombia	17IIC	1709526	910896	36	Magna Colombia Bogotá	7/5/2021	Investigación Maritima, Costera e Insular	Carlos Mario Alarcón		Seccion Delgada
5079463	ECC0004P	ECC0004	PAR0012	e3?e4bsm	Batolito de Santa Marta		Xenolito máfico foliado de anfibolita	Anfibolita	Camino hacia las Cascadas de Marinca	11IVD	1721322	995531	797	Magna Colombia Bogotá	5/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
5079464	ECC0007Pa	ECC0007	PAR0015	e3?e4bsm	Batolito de Santa Marta		Cuarzodiorita fanerítica media a gruesa, leucocratica, inequigranular, con nidos de anfibol. Atravezada por diques pegmatíticos	Roca ígnea, cuarzodiorita	Recorrido Minca hacía la vereda San Cayetano, Casa Elemento, Minca. Carreteable Casa Elemento	11IVD	1720274	994977	1127	Magna Colombia Bogotá	7/11/2019	Investigación Maritima, Costera e Insular			Seccion Delgada
